"artifactNumber","ObjectName","GeneralDescription","model","SerialNumber","Manufacturer","ManuCountry","ManuProvince","ManuCity","BeginDate","EndDate","date_qualifier","patent","NumberOfComponents","ArtifactFinish","ContextCanada","ContextFunction","ContextTechnical","group1","category1","subcategory1","group2","category2","subcategory2","group3","category3","subcategory3","material","Length","Width","Height","Thickness","Weight","Diameter","image","thumbnail"
"1966.0094.001","Helmet, flying","GABARDINE CLOTH/ FLEECE LINING/ LEATHER/ METAL","A-9","","Unknown","United States of America","","","1940","","after","","1","DRAB OLIVE RIBBED HELMET/ BROWN LEATHER FITTINGS/ NATURAL BUFF-COLOURED FLEECE/ CONDITION: GOOD, SPOILED: REQUIRES CLEANING SOME SIGNS OF WEAR, BUT STRUCTURALLY SOUND OVERALL","","","","Aviation","Clothing","Head gear","","","","","","","fibre->gabardine~skin->sheep~skin->leather~metal","43.0 cm","23.0 cm","8.5 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0094.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0094.001.aa.cs.thumb.png"
"1966.0095.001","Helmet, flying","LEATHER HELMET & CHINSTRAP/ DOESKIN LINING/ RUBBER KAPOK-FILLED EARPHONE MOUNTINGS/ METAL SNAPS & BUCKLE","A-9","","SELBY SHOE CO.","United States of America","","","1942","","after","","1","DARK BROWN CAPE LEATHER EXTERIOR/ BUFF-COLOURED LININGS/ BLACK EARPHONE MOUNTINGS","","","","Aviation","Clothing","Head gear","","","","","","","skin->leather~resin->rubber~metal","37.0 cm","23.0 cm","6.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0095.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0095.001.aa.cs.thumb.png"
"1966.0096.001","Helmet, flying","LEATHER EXTERIOR/ CHAMOIS LINING/ METAL EARPHONE FIXTURE, SNAPS & BUCKLES","","","MUIR CAP & REGALIA LTD.","Canada","Ontario","Toronto","1930","1939","between","","1","MEDIUM BROWN LEATHER/ BUFF-COLOURED LINING/ CONDITION: FAIR. WORN AND SOILED. MUCH CORROSION ON ALL METAL AREAS. NUMEROUS SMALL TEARS AND ABRASIONS OF INTERIOR & EXTERIOR SURFACES. STITCHING OF LINING TO LEATHER SHELL UNRAVELLED ALONG LOWER NECKLINE, AND ON CHINSTRAP.","","","","Aviation","Clothing","Head gear","","","","","","","skin->leather~skin->chamois~metal","41.0 cm","24.0 cm","7.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0096.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0096.001.aa.cs.thumb.png"
"1966.0097.001","Helmet, flying","LEATHER/ METAL EARPHONE FIXTURE, SNAPS & BUCKLE","","","Unknown","Unknown","","","","","","","1","MEDIUM BROWN EXTERIOR/ LIGHT BROWN INTERIOR/ CONDITION: FAIR. VERY WORN AND SOILED. MUCH CORROSION ON ALL METAL AREAS, BUT ESPECIALLY ON SNAPS. LEATHER INTERIOR & EXTERIOR BADLY ABRADED","","","","Aviation","Clothing","Head gear","","","","","","","skin->leather~metal","44.0 cm","26.0 cm","5.5 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0097.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0097.001.aa.cs.thumb.png"
"1966.0098.001","Helmet, flying","LEATHER EXTERIOR/ FUR LINING/ RUBBER EARPHONE MOUNTINGS~ CHAMOIS LINED/ METAL SNAPS & BUCKLE/ FABRIC TIES","NAF 1092","","Slote & Klein","United States of America","","","","","","","1","ROUGH GRAINED, DARK BROWN LEATHER/ BUFF-COLOURED HELMET & EARPIECE LININGS/ CONDITION: GOOD. SOME LIGHT MOLD ACTIVITY ON LEATHER EXTERIOR. SOME CORROSION OF METAL SNAPS","","","","Aviation","Clothing","Head gear","","","","","","","skin->leather~skin->pelt~skin->chamois~resin->rubber~metal~fibre","26.0 cm","23.0 cm","11.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0098.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0098.001.aa.cs.thumb.png"
"1966.0099.001","Helmet, flying","CANVAS MESH/ LEATHER/ RUBBER/ FELT/ METAL","","","Buffalo Cap & Neckwear Ltd.","Canada","Manitoba","Winnipeg","","","","","1","BUFF-COLOURED CANVAS MESH, LOOSE WEAVE/ BUFF-COLOURED EARPADS, INSIDE/ BROWN LEATHER STRAPS & TRIM/ CONDITION: GOOD. LIGHTLY SOILED~ REQUIRES CLEANING","","COMFORT DURING LONG DURATION ON PATROL OR WARM WEATHER","","Aviation","Clothing","Head gear","","","","","","","fibre->canvas~fibre->felt~skin->leather~resin->rubber~metal","22.0 cm","18.0 cm","8.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0099.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0099.001.aa.cs.thumb.png"
"1966.0100.001","Helmet, flying","CANVAS MESH/ LEATHER/ RUBBER/ FELT/ METAL","","","Buffalo Cap & Neckwear Ltd.","Canada","Manitoba","Winnipeg","1943","","after","","1","BUFF-COLOURED CANVAS MESH SHELL, LOOSE WEAVE/ GREY EARPADS/ SMOOTH GRAINED, BROWH LEATHER CHINSTRAP/ BLACK EARPIECES/ CONDITION: GOOD. LIGHTLY SOILED: REQUIRES CLEANING","ISSUED TO RCAF PILOTS","COMFORT DURING LONG DURATION PATROL OR WARM WEATHER","","Aviation","Clothing","Head gear","","","","","","","fibre->canvas~fibre->felt~skin->leather~resin->rubber~metal","24.5 cm","18.0 cm","9.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0100.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0100.001.aa.cs.thumb.png"
"1966.0101.001","Cover, cap","LINEN (?)/ MOTHER OF PEARL BUTTON","","","Unknown","Unknown","","","1920","","before","","2","WHITE, RIBBED LINEN","","WORN OVER HAT-TOP ON CEREMONIAL OR DRESS OCCASIONS","R-34 WAS THE FIRST AIRSHIP TO CROSS THE ATLANTIC OCEAN","Aviation","Clothing","Head gear","","","","","","","fibre->linen - possible","26.2 cm","20.7 cm","7.5 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0101.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0101.001.aa.cs.thumb.png"
"1966.0101.002","Note","","","","Unknown","Unknown","","","","","","","2","","","","","","","","","","","","","","","","","","","","","",""
"1966.0102.001","Goggles, flying","LEATHER FACEPIECE/ PLASTIC LENSES/ METAL FRAME & FITTINGS/ COTTON (?) STRAP/ VELVET LINERS","","","Unknown","Unknown","","","","","","","1","BROWN, SMOOTH-GRAINED LEATHER ON FRONT & BACK OF FACE PIECE & ON STRAP/ BROWN VELVET LINER ON LENS FRAME/ LIGHT YELLOW-ORANGE TINT ON LENSES/ CONDITION: POOR. LEATHER VERY WORN: LARGE SECTION MISSING BELOW RIGHT LENS, ON FRONT","","","","Aviation","Clothing","Head gear","","","","","","","skin->leather~synthetic->plastic~metal->~fibre->cotton - possible~fibre->velvet","25.0 cm","10.5 cm","3.5 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0102.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0102.001.aa.cs.thumb.png"
"1966.0103.001","Goggles, flying","LEATHER FACEPIECE & STRAP/ PLASTIC LENSES/ METAL FRAME & FITTINGS/ COTTON (?) STRAP/ VELVET LINERS","22/897 [see notes]","","Unknown","Canada","","","1942","","circa","","1","BROWN, SMOOTH-GRAINED LEATHER ON FRONT AND BACK OF FACEPLATE~ NOSE SECTION LINED WITH SWEDE/ BROWN VELVET LINER ON LENS FRAME/ LIGHT YELLOW-ORANGE TINT ON LENSES/ CONDITION: POOR. LEATHER VERY WORN: LARGE SECTION MISSING ABOVE LEFT LENS, ON FRONT","","","","Aviation","Clothing","Head gear","","","","","","","skin->leather~synthetic->plastic~metal->~fibre->cotton - possible~fibre->velvet","27.0 cm","14.0 cm","5.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0103.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0103.001.aa.cs.thumb.png"
"1966.0104.001","Goggles, flying","FOAM RUBBER FACEPIECE/ PLASTIC LENSES/ ELASTIC STRAP/ TIN (?) FRAME/ METAL","","","Unknown","Germany","","","","","","","1","FACEPIECE HAS SMOOTH BLACK RUBBER EXTERIOR~ LIGHT BROWN FOAM BACK/ CLEAR LENSES/ GREY STRAP/ SILVER METAL FRAME & FITTINGS/ CONDITION: GOOD. SOME DETERIORATION OF FOAM BACK. LEFT LENS CRACKED","","","","Aviation","Clothing","Head gear","","","","","","","resin->rubber~synthetic->plastic~synthetic->elastic~metal->tin","23.0 cm","10.0 cm","5.5 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0104.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0104.001.aa.cs.thumb.png"
"1966.0105.001","Goggles, flying","PLASTIC (?) LENSES/ TIN (?) FRAME/ FOAM FACEPIECE/ ELASTIC STRAP/ METAL CLASPS","","","Unknown","Unknown","","","","","","","1","BUFF-COLOURED FACEPIECE HAS RIBBED FRONT~ NAPPED BACK/ CLEAR PLASTIC LENSES/ SILVER METAL FRAME & FITTINGS/ BUFF-COLOURED STRAP/ CONDITION: GOOD. LEFT LENS BADLY CRACKED","","","","Aviation","Clothing","Head gear","","","","","","","synthetic->plastic~synthetic->foam~synthetic->elastic~metal->tin - possible","24.0 cm","13.5 cm","4.5 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0105.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0105.001.aa.cs.thumb.png"
"1966.0106.001","Glove, flying","LEATHER EXTERIOR/ FELT LINING/ METAL SNAPS AND BUCKLE","","","Unknown","Unknown","","","","","","","2","BROWN SMOOTH-GRAINED LEATHER GLOVE/ DARK GREEN COLOURED CUFF AND WRIST STRAP/ GREY FELT LINING OF LOWER GLOVE, FINGERS ONLY/ CONDITION: FAIR. LEATHER BADLY SOILED AND WORN, ESPECIALLY ON PALM AND BACK OF GLOVE. SNAPS ARE CORRODED","","","","Aviation","Clothing","Outerwear","","","","","","","skin->leather~fibre->felt~metal","37.0 cm","22.4 cm","3.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0106.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0106.001.aa.cs.thumb.png"
"1966.0106.002","Glove, flying","LEATHER EXTERIOR/ FELT LINING/ METAL SNAPS AND BUCKLE","","","Unknown","Unknown","","","","","","","2","BROWN SMOOTH-GRAINED LEATHER GLOVE/ DARK GREEN COLOURED CUFF AND WRIST STRAP/ GREY FELT LINING OF LOWER GLOVE, FINGERS ONLY/ CONDITION: FAIR. LEATHER BADLY SOILED AND WORN, ESPECIALLY ON PALM AND BACK OF GLOVE. SNAPS ARE CORRODED","","","","Aviation","Clothing","Outerwear","","","","","","","skin->leather~fibre->felt~metal","37.0 cm","22.4 cm","3.0 cm","","","","",""
"1966.0107.001","Liner, flying boot","COTTON SHAFT/ HIDE SOLE/ LEATHER TIES","","","Unknown","Unknown","","","","","","","8","WHITE SHAFT~ BUFF-COLOURED, NAPPED HIDE SOLE~ BROWN LEATHER TIES/ CONDITION: VERY GOOD..1-.2: REQUIRES CLEANING. SOME MOLD ACTIVITY ON SURFACE OF LEATHER, TIES~.5 WORN. SOILED: REQUIRES CLEANING","","","","Aviation","Clothing","Footwear","","","","","","","fibre->cotton~skin->hide~skin->leather","36.0 cm","32.0 cm","6.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0107.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0107.001.aa.cs.thumb.png"
"1966.0107.002","Liner, flying boot","COTTON SHAFT/ HIDE SOLE/ LEATHER TIES","","","Unknown","Unknown","","","","","","","8","WHITE SHAFT~ BUFF-COLOURED, NAPPED HIDE SOLE~ BROWN LEATHER TIES","","","","Aviation","Clothing","Footwear","","","","","","","fibre->cotton~skin->hide~skin->leather","36.0 cm","32.0 cm","6.0 cm","","","","",""
"1966.0107.003","Sock","DUFFEL LINER & OVERSHOE/ NYLON (?) COVERING ON HEEL","DUFFEL COMBINATION","","Unknown","Unknown","","","","","","","8","OFF WHITE~ WHITE HEEL","","","","Aviation","Clothing","Footwear","","","","","","","fibre->~synthetic->nylon - possible","36.0 cm","32.0 cm","6.0 cm","","","","",""
"1966.0107.004","Sock","DUFFEL LINER & OVERSHOE/ NYLON (?) COVERING ON HEEL","DUFFEL COMBINATION","","Unknown","Unknown","","","","","","","8","OFF WHITE~ WHITE HEEL","","","","Aviation","Clothing","Footwear","","","","","","","fibre->~synthetic->nylon - possible","36.0 cm","32.0 cm","6.0 cm","","","","",""
"1966.0107.005","","FELT","","","Unknown","Unknown","","","","","","","8","YELLOW-BROWN MATTED FELT","","","","Aviation","Clothing","Footwear","","","","","","","fibre->felt","28.0 cm","9.5 cm","1.5 cm","","","","",""
"1966.0107.006","","FELT","","","Unknown","Unknown","","","","","","","8","YELLOW-BROWN MATTED FELT","","","","Aviation","Clothing","Footwear","","","","","","","fibre->felt","29.5 cm","10.0 cm","1.1 cm","","","","",""
"1966.0107.007","","NYLON (?)","","","Unknown","Unknown","","","","","","","8","DARK GREEN WOVEN NYLON (?)","","","","Aviation","Clothing","Footwear","","","","","","","synthetic->nylon - possible","30.5 cm","10.0 cm","","","","","",""
"1966.0107.008","","NYLON (?)","","","Unknown","Unknown","","","","","","","8","DARK GREEN WOVEN NYLON (?)","","","","Aviation","Clothing","Footwear","","","","","","","synthetic->nylon - possible","30.5 cm","10.0 cm","","","","","",""
"1966.0108.001","Coverall, flying","COVERALL: KAPOK (?) SHELL~ LEATHER OVERLAYER~ CHAMOIS LINING~ KNITTED CUFFS~ METAL SNAPS & ZIPPERS~ PLASTIC BUTTONS~ MUSKRAT (?) COLLAR","","","Unknown","Unknown","","","","","","","2","HEAVY WEIGHT BUFF-COLOURED RIBBED KAPOK EXTERIOR~ MEDIUM BROWN, SMOOTH-GRAINED LEATHER ON BODICE FRONT & BACK~ MEDIUM BROWN INNER CUFF AT WRIST OF CHAMOIS & ACRYLIC (?) KNIT FABRIC/","","","","Aviation","Clothing","Outerwear","","","","","","","skin->chamois~skin->leather~skin->pelt~synthetic->plastic~metal","160.0 cm","52.0 cm","11.5 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0108.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0108.001.aa.cs.thumb.png"
"1966.0108.002","Belt","LEATHER~ METAL FITTINGS","","","Unknown","Unknown","","","","","","","2","MEDIUM BROWN, SMOOTH-GRAIN LEATHER/ LEATHER WORN ON BELT, ESPECIALLY AROUND BELT HOLES","","","","Aviation","Clothing","Outerwear","","","","","","","skin->leather~metal","125.0 cm","8.2 cm","2.5 cm","","","","",""
"1966.0109.001","Coverall, flying","COTTON CORDUROY/ METAL SNAPS & ZIPPER","","","WOODS MFG. CO. LTD.","Canada","Ontario","Ottawa","","","","","1","BUFF-COLOURED FABRIC HAS RIBBED EXTERIOR~ NAPPED FINISH INSIDE/ CONDITION: FAIR. BADLY SOILED: REQUIRES CLEANING. WORN, ESPECIALLY ON CUFFS, POCKETS AND ALONG MOST EXPOSED EDGES. NUMEROUS SMALL TEARS THROUGHOUT/ HAS DRY-CLEANING TAG PINNED TO INSIDE BACK, AT NECK","","","","Aviation","Clothing","Outerwear","","","","","","","fibre->cotton~metal","163.0 cm","58.0 cm","6.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0109.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0109.001.aa.cs.thumb.png"
"1966.0110.001","Cap, flying","LEATHER EXTERIOR/ SHEARLING LINING/ FABRIC LINING ON CROWN/ FABRIC TIES","","","Unknown","Unknown","","","","","","","1","DARK BROWN EXTERIOR/ BUFF-COLOURED SHEARLING/ BLACK QUILTED LINING/ BLACK TIES ON EARFLAPS/ CONDITION: GOOD. WORN~ REQUIRES CLEANING. SHEARLING ON EARFLAPS, AROUND BAND DISCOLOURED: APPEARS RED-BROWN","","","","Aviation","Clothing","Head gear","","","","","","","skin->leather~skin->sheep","31.0 cm","27.5 cm","6.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0110.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0110.001.aa.cs.thumb.png"
"1966.0111.001","Coat, flying","LEATHER SHELL~ KAPOK LINING~ METAL SNAPS~ BAKELITE BUTTONS~ FUR COLLAR (NOW DESTROYED BY INSECTS)","","","Unknown","Unknown","","","","","","","2","LIGHT BROWN, SMOOTH GRAINED COAT/ BUFF-COLOURED WOVEN KAPOK LINING~ LIGHT BROWN BUTTONS~ BROWN PAINTED METAL SNAPS/ COND: VERY POOR. COAT IS EXTREMELY FRAGILE. BOTH LEATHER & KAPOK BADLY WORN, ESPECIALLY ON HEM, CUFF EDGES. SOME MOTH DAMAGE EVIDENT. FUR COLLAR ALMOST COMPLETELY STRIPPED BY INSECTS. MOLD PRESENT ON LEATHER EXTERIOR.","","","","Aviation","Clothing","Outerwear","","","","","","","skin->leather~skin->pelt~metal->~synthetic->bakelite","126.0 cm","73.0 cm","10.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0111.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0111.001.aa.cs.thumb.png"
"1966.0111.002","Belt","LEATHER BELT~ METAL BUCKLE AND HOLES","","","Unknown","Unknown","","","","","","","2","LIGHT BROWN, SMOOTH GRAINED BELT/ SILVER METAL BUCKLE: LEATHER COVERING (DAMAGED)-BELT HOLES ALSO METAL: PAINTED BROWN","","","","Aviation","Clothing","Outerwear","","","","","","","skin->leather~metal","128.0 cm","6.0 cm","2.4 cm","","","","",""
"1966.0112.001","Boot, flying","LEATHER/ SHEARLING LINING/ METAL BUCKLES ON SHAFT FRONT","","","PALMER-MCLELLAN CO. LTD.","Canada","New brunswick","Fredericton","1940","","","","2","DARK-BROWN, ROUGH-GRAINED LEATHER SHAFT, VAMP AND SOLE/ BUFF-COLOURED FLEECE LINING/ CONDITION: FAIR TO GOOD..1: MOST FLEECE MISSING, PRESUMABLY DUE TO INSECT DAMAGE. LEATHER WORN INSIDE SOLE, AT HEEL.","","","","Aviation","Clothing","Footwear","","","","","","","skin->leather~skin->sheep~metal","32.0 cm","13.0 cm","25.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0112.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0112.001.aa.cs.thumb.png"
"1966.0112.002","Boot, flying","LEATHER/ SHEARLING LINING/ METAL BUCKLES ON SHAFT FRONT","","","PALMER-MCLELLAN CO. LTD.","Canada","New brunswick","Fredericton","","","","","2","DARK-BROWN, ROUGH-GRAINED LEATHER SHAFT, VAMP AND SOLE/ BUFF-COLOURED FLEECE LINING/ CONDITION: FAIR TO GOOD..1: MOST FLEECE MISSING, PRESUMABLY DUE TO INSECT DAMAGE. LEATHER WORN INSIDE SOLE, AT HEEL.","","","","Aviation","Clothing","Footwear","","","","","","","skin->leather~skin->sheep~metal","32.0 cm","13.0 cm","25.0 cm","","","","",""
"1966.0113.001","Gun, machine","HEAVY METAL FOR MAIN BODY OF THE GUN/ OAK WOOD HANDLES/ BRASS FOR FIRING MECHANISM","VICKERS MK.II","C10898/B278","Vickers-Armstrong","England","","","1918","","circa","ENGLAND PAT NO. 16971","2","","","MACHINE GUN USED IN SOPWITH PUP DURING WWI","","Aviation","Aviation armament","","","","","","","","metal->steel~wood","","6.5 cm","4.5 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0113.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0113.001.aa.cs.thumb.png"
"1966.0113.002","Lock, breech","","","973M","","","","","","","","","2","","","","","Aviation","Aviation armament","","","","","","","","","","","","","","","",""
"1966.0114.001","Rocket","ALL METAL","BLACK BRANT 2","","DND DRB CARDE","Canada","Québec","Québec","1959","1962","between","","1","NOSE PAINTED BLACK ENAMEL/ MIDSECTION PAINTED WHITE ON SINISTER SIDE & BLACK ON DEXTER/ BLACK & WHITE PAINTED TAIL & FINS/ PLATED ANTENNAE & RAIL RIDER LUG","AN EARLY CANADIAN DESIGNED & BUILT BLACK BRANT ROCKET OF THE TYPE USED IN THE CANADIAN ROCKET SOUNDING PROGRAM TO EXPLORE THE UPPER ATMOSPHERE. THE ROCKET PROJECT (FOR BLACK BRANTS 1 & 2) WAS A JOINT GOVERNMENT-INDUSTRY EFFORT UNDER CARDE. IN 1960 THE TECHNOLOGY WAS TRANSFERRED TO BRISTOL AEROSPACE OF WINNIPEG FOR COMMERCIAL PRODUCTION (FOR BB3).","A HIGH ALTITUDE RESEARCH OR SOUNDING ROCKET ROCKET, DESIGNED TO CARRY A PAYLOAD OF INSTRUMENTS FOR SCIENTIFIC EXPERIMENTS & OBSERVATIONS INTO THE UPPER ATMOSPHERE, FROM WHICH READINGS WERE TELEMETERED TO EARTH.","BB2 WAS THE SECOND VERSION OF THE BB SINGLE STAGE ROCKET. ITS CONFIGURATION WAS GENERALLY SIMILAR TO BB1 BUT IT HAD AN 11.5 DEGREE NOSE CONE RATHER THEN 15 DEGREE (TO PROVIDE MORE PAYLOAD SPACE) & A CAST E233A MAGNESIUM-ZIRCONIUM NOSE & FORWARD BODY. AFTER TEST FLIGHTS, ITS 3-FIN BODY WAS REPLACED BY A 4-FIN CONFIGURATION.","Space Technology","Space science","Spacecraft","","","","","","","metal","824.0 cm","173.0 cm","172.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0114.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0114.001.aa.cs.thumb.png"
"1966.0115.001","Rocket model","METAL NOSE CONE, FINS, AFT END SECTIONS/ SYNTHETIC BODY","BLACK BRANT 2","","Unknown","Unknown","","","1960","","circa","","1","PAINTED BLACK & WHITE","A MODEL OF AN EARLY CANADIAN DESIGNED & BUILT BLACK BRANT ROCKET OF THE TYPE USED IN THE CANADIAN ROCKET SOUNDING PROGRAM TO EXPLORE THE UPPER ATMOSPHERE. THE PROJECT WAS A JOINT GOVERNMENT-INDUSTRY EFFORT UNDER CARDE.","A DISPLAY MODEL OF A HIGH ALTITUDE RESEARCH OR SOUNDING ROCKET, DESIGNED TO CARRY A PAYLOAD OF INSTRUMENTS FOR SCIENTIFIC EXPERIMENTS & OBSERVATIONS INTO THE UPPER ATMOSPHERE, FROM WHICH READINGS ARE TELEMETERED TO EARTH.","BB2 WAS THE SECOND VERSION OF THE BB SINGLE STAGE ROCKET. ITS CONFIGURATION WAS GENERALLY SIMILAR TO THAT OF THE BB1 BUT IT HAD AN 11.5 DEGREE NOSE CONE RATHER THAN A 15 DEGREE, PROVIDING A GREATER PAYLOAD CAPACITY. AFTER TEST FLIGHTS, ITS 3-FIN BODY WAS REPLACED BY A 4-FIN CONFIGURATION.","Space Technology","Space science","Spacecraft","","","","","","","metal~synthetic","104.5 cm","21.5 cm","10.5 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0115.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0115.001.aa.cs.thumb.png"
"1966.0116.001","Coat","CANVAS WITH WOOL LINING/ RUBBERIZED TRIM/ CORDUROY COLLAR/ METAL CLASPS, SNAPS, EYELETS","","","MIDWESTERN SAFETY MFG. CO.","United States of America","Illinois","Mackinaw","1985","","before","","3","GREEN CANVAS/ YELLOW LINING/ GREY TRIM/ NAVY BLUE CORDUROY/ METALLIC CLASPS/ BLACK SNAPS/ BRASS? EYELETS/ NAVY BLUE DETACHABLE LINING WITH BROWN TRIM & BLACK SNAPS/ CONDITION: STRUCTURALLY SOUND BUT SOILED & STAINED, RUBBERIZED CANVAS? HAS BECOME HARD & INFLEXIBLE","","FIREFIGHTER'S PROTECTIVE OUTERWEAR","","Fire Fighting","Clothing & personal safety apparatus","","","","","","","","fibre->canvas~fibre->cotton~fibre->wool~metal~synthetic","100.0 cm","59.0 cm","30.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0116.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0116.001.aa.cs.thumb.png"
"1966.0116.002","Coat",".CANVAS WITH WOOL LINING/ RUBBERIZED TRIM/ CORDUROY COLLAR/ METAL CLASPS, SNAPS, EYELETS","","","MIDWESTERN SAFETY MFG. CO.","United States of America","Illinois","Mackinaw","1985","","before","","3","","","FIREFIGHTER'S PROTECTIVE OUTERWEAR","","Fire Fighting","Clothing & personal safety apparatus","","","","","","","","fibre->canvas~fibre->cotton~fibre->wool~metal~synthetic","100.0 cm","59.0 cm","30.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0116.002.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0116.002.aa.cs.thumb.png"
"1966.0116.003","Liner, uniform coat","WOOL DETACHABLE LINING WITH METAL SNAPS & SYNTHETIC TRIM","","","MIDWESTERN SAFETY MFG. CO.","United States of America","Illinois","Mackinaw","1985","","before","","3","","","","","Fire Fighting","Clothing & personal safety apparatus","","","","","","","","fibre->wool~metal~synthetic","75.0 cm","50.0 cm","","10.0 cm","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0116.003.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0116.003.aa.cs.thumb.png"
"1966.0117.001","Airplane model","WOOD/ PLASTIC","AVRO CANADA CF-105 ARROW","","Unknown","Unknown","","","","","","","1","WHITE WITH GREY & BLACK TRIM","","DISPLAY","","Aviation","Models","","","","","","","","wood->~synthetic->plastic","","","","","","","",""
"1966.0118.001","Airplane model","WOOD~ FIBRE, SILK~ SYNTHETIC, PLASTIC","GOTHA G-V","","Unknown","England","","","","","","","1","PAINTED CREAM WITH","","REPRESENTATION OF AN EXISTING AIRPLANE ON A SMALLER SCALE","","Aviation","Models","","","","","","","","wood->~fibre->silk~synthetic->plastic","53.5 cm","98.2 cm","15.2 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0118.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0118.001.aa.cs.thumb.png"
"1966.0119.001","Airplane model","WOOD~ METAL","CURTISS JN-4 (CAN.) CANUCK","","Canadian Aeroplanes Ltd.","Canada","Ontario","Toronto","1918","","","","1","AIRFRAME UNSTAINED WOOD, COWLING & AROUND COCKPIT GREEN, ENGINE PTS GREY, SEATS & PTS SILVER, PROP. UNSTAINED WOOD","","REPRESENTATION OF AN EXISTING AIRPLANE ON A SMALLER SCALE","","Aviation","Models","","","","","","","","wood~metal","34.7 cm","55.3 cm","12.5 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0119.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0119.001.aa.cs.thumb.png"
"1966.0120.001","Airplane model","WOOD/ METAL/ FABRIC/ PLASTIC","CURTISS JN-4","","Unknown","England","","","1967","","before","","1","OFF-WHITE WITH GREEN COWLING & TRIM","","","","Aviation","Models","","","","","","","","wood->~metal->~fibre->~synthetic->plastic","","","","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0120.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0120.001.aa.cs.thumb.png"
